,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors
0,20.811243738665432,21.341123054393456,21.683473921924932,20.803977820526857,21.159954633877668,0.372563156267772,9,10.67273768082997,10.627359586289838,10.791283208005693,10.140910943263451,10.558072854597238,0.24817322718626372,9,140.1579977273941,0.6544272366126673,29.088193714618683,1.494830270258323,{'n_factors': 10},10
1,19.805896616699542,19.59691116688009,20.30450098162546,19.66866637736076,19.843993785641462,0.2762733213788645,8,10.55983602893385,10.330355019739358,10.390708197921649,10.057927981074712,10.334706806917392,0.18058569910616015,8,191.13401591777802,1.0008608882392518,27.53135359287262,1.4532929963940495,{'n_factors': 30},30
2,19.030262953456628,18.86244252935116,19.325746808712104,18.788112243441812,19.001641133740424,0.20666067330819773,7,9.837684729499355,9.684438698633022,10.034205760930858,9.638791412216705,9.798780150319985,0.15460364509479424,7,243.20147287845612,0.28723634278449794,27.449310779571533,1.3644303654053804,{'n_factors': 50},50
3,18.868822440916556,18.32448941460442,18.960355101954683,18.727883946971502,18.720387726111788,0.24310947760713655,6,9.750082210204688,9.191167803646609,9.631329014755279,9.411454581077695,9.496008402421069,0.21385877775363318,6,293.6480755805969,0.4152902526084286,29.05879056453705,2.7482068947797567,{'n_factors': 70},70
4,18.389502925498512,18.255577260470577,18.6859627881189,18.589482017770372,18.480131247964593,0.16804924866827664,5,9.535574171095085,9.433928181292991,9.579258595603877,9.412603981069335,9.490341232265322,0.06924201903788704,5,343.65258914232254,0.06446762496420691,27.680488288402557,2.7817376463897716,{'n_factors': 90},90
5,18.453472689682474,93.76309480983765,18.409148467379925,18.32586199097375,37.23789448946845,32.63487177697568,11,9.422888945278965,90.01938188892471,9.280300046664989,9.274501099763702,29.499267995158093,34.941354590027494,11,394.4669394493103,0.23621654404814474,28.7100989818573,0.27187357406031165,{'n_factors': 110},110
6,18.44159532448597,18.316052773471185,18.4600205714318,18.264387818571368,18.37051412199008,0.08260262193136218,4,9.469938102126168,9.310663263740947,9.224178692283937,9.195400639741882,9.300045174473233,0.10686738564115601,4,445.4412443637848,0.18656377406190808,27.124747693538666,1.6747188798426187,{'n_factors': 130},130
7,17.988077899386404,18.24778762863612,18.19523946992892,18.497395435804695,18.232125108439035,0.1813375662226981,3,9.193349493788315,9.280917405199448,9.119318784228836,9.478393789068118,9.267994868071181,0.13426765035837177,3,496.40523582696915,0.6060926578360625,27.922323524951935,1.4259475963774217,{'n_factors': 150},150
8,18.00643788590876,18.18657854167166,18.080965011155282,18.002118557356926,18.069024999023156,0.07475797272425211,1,9.300033606988004,9.27255300724851,9.179723152334303,9.154736285596691,9.226761513041877,0.06096290154576136,2,545.9853496551514,0.16697670200322628,29.58315944671631,2.6754109693434533,{'n_factors': 170},170
9,18.28141632725155,18.111863802653435,17.903700046796846,93.75358309708723,37.01264081844727,32.759671437694266,10,9.3663260580652,9.208171005502233,9.024317079452075,90.00996167884458,29.40219395546602,34.99212032619184,10,597.3805555701256,0.1586272469452949,27.758059084415436,1.2893500732960541,{'n_factors': 190},190
10,18.16695857486772,18.231676898124814,18.035302364396816,17.95755690632811,18.097873685929365,0.10756392330777263,2,9.273919889306672,9.215863738664426,9.090530654784883,9.037071430742,9.154346428374495,0.09474712403702415,1,647.7606580257416,0.36010253482477245,28.77539312839508,3.2308160874433502,{'n_factors': 210},210
