Unnamed: 0,pre_proc,redux_func,n_components,dist,t,P1pp,P1_True,P1_len,P2pp,P2_True,P2_len,P3pp,P3_True,P3_len
117.0,escalaropt_missings,_IncrementalPCA,100,Camberra,993.2067441940308,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2368421052631579,63,266
118.0,escalaropt_missings,_IncrementalPCA,100,BrayCurtis,984.5168175697328,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2368421052631579,63,266
119.0,escalaropt_missings,_IncrementalPCA,100,np_cossine,978.10001039505,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2368421052631579,63,266
120.0,escalaropt_missings,_IncrementalPCA,120,Manhattan,1511.6702830791473,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
121.0,escalaropt_missings,_IncrementalPCA,120,scy_cossine,1069.9237353801727,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
122.0,escalaropt_missings,_IncrementalPCA,120,Camberra,1017.899064064026,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
123.0,escalaropt_missings,_IncrementalPCA,120,BrayCurtis,975.3766491413116,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
124.0,escalaropt_missings,_IncrementalPCA,120,np_cossine,972.4405131340027,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
125.0,escalaropt_missings,_IncrementalPCA,150,Manhattan,1633.1964750289915,0.008992805755395683,5,556,0.2451499118165785,139,567,0.2293233082706767,61,266
126.0,escalaropt_missings,_IncrementalPCA,150,scy_cossine,1045.5772886276243,0.008992805755395683,5,556,0.2451499118165785,139,567,0.2293233082706767,61,266
127.0,escalaropt_missings,_IncrementalPCA,150,Camberra,1019.1349694728852,0.008992805755395683,5,556,0.2451499118165785,139,567,0.2293233082706767,61,266
128.0,escalaropt_missings,_IncrementalPCA,150,BrayCurtis,1023.3615107536316,0.008992805755395683,5,556,0.2451499118165785,139,567,0.2293233082706767,61,266
129.0,escalaropt_missings,_IncrementalPCA,150,np_cossine,1008.2101385593414,0.008992805755395683,5,556,0.2451499118165785,139,567,0.2293233082706767,61,266
130.0,escalaropt_missings,_FactorAnalysis,10,Manhattan,1112.2265632152555,0.0035971223021582736,2,556,0.20811287477954146,118,567,0.2669172932330827,71,266
131.0,escalaropt_missings,_FactorAnalysis,10,scy_cossine,1077.1949331760406,0.0035971223021582736,2,556,0.20811287477954146,118,567,0.2669172932330827,71,266
132.0,escalaropt_missings,_FactorAnalysis,10,Camberra,1092.9709227085114,0.0035971223021582736,2,556,0.20811287477954146,118,567,0.2669172932330827,71,266
133.0,escalaropt_missings,_FactorAnalysis,10,BrayCurtis,1052.9334053993223,0.0035971223021582736,2,556,0.20811287477954146,118,567,0.2669172932330827,71,266
134.0,escalaropt_missings,_FactorAnalysis,10,np_cossine,1072.3525247573853,0.0035971223021582736,2,556,0.20811287477954146,118,567,0.2669172932330827,71,266
135.0,escalaropt_missings,_FactorAnalysis,20,Manhattan,1123.5340087413788,0.0,0,556,0.2345679012345679,133,567,0.2631578947368421,70,266
136.0,escalaropt_missings,_FactorAnalysis,20,scy_cossine,1090.567279338837,0.0,0,556,0.2345679012345679,133,567,0.2631578947368421,70,266
137.0,escalaropt_missings,_FactorAnalysis,20,Camberra,995.7646582126616,0.0,0,556,0.2345679012345679,133,567,0.2631578947368421,70,266
138.0,escalaropt_missings,_FactorAnalysis,20,BrayCurtis,1017.7809948921204,0.0,0,556,0.2345679012345679,133,567,0.2631578947368421,70,266
139.0,escalaropt_missings,_FactorAnalysis,20,np_cossine,1209.654883146286,0.0,0,556,0.2345679012345679,133,567,0.2631578947368421,70,266
140.0,escalaropt_missings,_FactorAnalysis,30,Manhattan,1197.355208158493,0.0,0,556,0.2310405643738977,131,567,0.2781954887218045,74,266
141.0,escalaropt_missings,_FactorAnalysis,30,scy_cossine,1086.9854850769045,0.0,0,556,0.2310405643738977,131,567,0.2781954887218045,74,266
142.0,escalaropt_missings,_FactorAnalysis,30,Camberra,1026.9533710479736,0.0,0,556,0.2310405643738977,131,567,0.2781954887218045,74,266
143.0,escalaropt_missings,_FactorAnalysis,30,BrayCurtis,1055.668271780014,0.0,0,556,0.2310405643738977,131,567,0.2781954887218045,74,266
144.0,escalaropt_missings,_FactorAnalysis,30,np_cossine,1033.866539478302,0.0,0,556,0.2310405643738977,131,567,0.2781954887218045,74,266
145.0,escalaropt_missings,_FactorAnalysis,50,BrayCurtis,1427.9937422275545,0.007194244604316547,4,556,0.19576719576719576,111,567,0.2706766917293233,72,266
146.0,escalaropt_missings,_FactorAnalysis,80,BrayCurtis,1634.252285003662,0.0035971223021582736,2,556,0.15520282186948853,88,567,0.2518796992481203,67,266
147.0,escalaropt_missings,_FactorAnalysis,100,BrayCurtis,1889.666251897812,0.0,0,556,0.17989417989417988,102,567,0.2781954887218045,74,266
148.0,escalaropt_missings,_PCA,10,BrayCurtis,1151.496422290802,0.007194244604316547,4,556,0.18694885361552027,106,567,0.19924812030075187,53,266
149.0,escalaropt_missings,_PCA,20,BrayCurtis,1211.5772979259489,0.01079136690647482,6,556,0.19400352733686066,110,567,0.2443609022556391,65,266
150.0,escalaropt_missings,_PCA,30,BrayCurtis,1262.9266681671145,0.008992805755395683,5,556,0.21516754850088185,122,567,0.2631578947368421,70,266
151.0,escalaropt_missings,_PCA,50,BrayCurtis,1668.7652781009674,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2406015037593985,64,266
152.0,escalaropt_missings,_PCA,80,BrayCurtis,1949.4601955413816,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2293233082706767,61,266
153.0,escalaropt_missings,_PCA,100,BrayCurtis,2228.48531126976,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2368421052631579,63,266
154.0,escalaropt_missings,_PCA,120,BrayCurtis,2332.861112117768,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2330827067669173,62,266
155.0,Nothing,_NMF,10,BrayCurtis,1062.5368509292605,0.00539568345323741,3,556,0.16225749559082892,92,567,0.2255639097744361,60,266
156.0,Nothing,_NMF,20,BrayCurtis,1144.7054488658905,0.008992805755395683,5,556,0.20987654320987653,119,567,0.2255639097744361,60,266
