pre_proc,redux_func,n_components,dist,t,P1pp,P1_True,P1_len,P2pp,P2_True,P2_len,P3pp,P3_True,P3_len
Nothing,Nothing,168,Manhattan,1342.1321902275085,0.005405405405405406,3,555,0.254416961130742,144,566,0.2528301886792453,67,265
Nothing,Nothing,168,Camberra,966.7231109142303,0.005405405405405406,3,555,0.254416961130742,144,566,0.2528301886792453,67,265
Nothing,Nothing,168,BrayCurtis,966.8611967563629,0.005405405405405406,3,555,0.254416961130742,144,566,0.2528301886792453,67,265
Nothing,Nothing,168,np_cossine,967.4471135139465,0.005405405405405406,3,555,0.254416961130742,144,566,0.2528301886792453,67,265
Nothing,Nothing,168,scy_cossine,966.2120938301086,0.005405405405405406,3,555,0.254416961130742,144,566,0.2528301886792453,67,265
Nothing,Nothing,168,Manhattanj,967.1888771057129,0.005405405405405406,3,555,0.254416961130742,144,566,0.2528301886792453,67,265
Nothing,Nothing,168,Camberraj,966.4990694522858,0.005405405405405406,3,555,0.254416961130742,144,566,0.2528301886792453,67,265
Nothing,Nothing,168,BrayCurtisj,967.01065325737,0.005405405405405406,3,555,0.254416961130742,144,566,0.2528301886792453,67,265
Nothing,Nothing,168,npj_cossinej,968.6631350517273,0.005405405405405406,3,555,0.254416961130742,144,566,0.2528301886792453,67,265
